,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
4,DPWGn.DE,C+,46.875,2017-12-31T00:00:00Z,,,,
5,DPWGn.DE,B-,53.5714285714285,2016-12-31T00:00:00Z,,,,
6,DPWGn.DE,A,85.7142857142857,2015-12-31T00:00:00Z,,,,
7,DPWGn.DE,A-,80.5555555555555,2014-12-31T00:00:00Z,,,,
8,DPWGn.DE,C-,32.1428571428571,2013-12-31T00:00:00Z,,,,
9,DPWGn.DE,A-,77.7777777777777,2012-12-31T00:00:00Z,,,,
10,DPWGn.DE,A,85.7142857142857,2012-01-01T00:00:00Z,,,,
0,DTEGn.DE,D+,16.6666666666666,2021-12-31T00:00:00Z,,,,
1,DTEGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DTEGn.DE,A-,80.9523809523809,2019-12-31T00:00:00Z,,,,
3,DTEGn.DE,C+,47.6744186046511,2018-12-31T00:00:00Z,,,,
4,DTEGn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,DTEGn.DE,D+,18.5714285714285,2016-12-31T00:00:00Z,,,,
6,DTEGn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,DTEGn.DE,D+,17.9487179487179,2014-12-31T00:00:00Z,,,,
8,DTEGn.DE,D,9.78260869565217,2013-12-31T00:00:00Z,,,,
9,DTEGn.DE,C-,26.8292682926829,2012-12-31T00:00:00Z,,,,
10,DTEGn.DE,D+,17.3469387755102,2011-12-31T00:00:00Z,,,,
0,DWNG.DE,B+,73.9130434782608,2021-12-31T00:00:00Z,,,,
1,DWNG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,DWNG.DE,A+,94.4444444444444,2019-12-31T00:00:00Z,,,,
3,DWNG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,DWNG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,DWNG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,DWNG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,DWNG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,DWNG.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
