,Y,buzz_News,buzz_News_Headline,buzz_News_Social,buzz_Social,innovation_News,innovation_News_Headline,innovation_News_Social,innovation_Social,laborDispute_News,laborDispute_News_Headline,laborDispute_News_Social,laborDispute_Social,layoffs_News,layoffs_News_Headline,layoffs_News_Social,layoffs_Social,managementTrust_News,managementTrust_News_Headline,managementTrust_News_Social,managementTrust_Social,mentions_News,mentions_News_Headline,mentions_News_Social,mentions_Social,ticker_
72,2022,7719.3,384.5,13858.5,6139.2,0.142857,0.0,0.064516,0.034483,0.0,0.0,0.013889,0.016393,0.007491,0.0,0.022989,0.022989,0.114286,0.0,0.108108,0.101695,2841.0,372.0,4838.0,1997.0,ABDN
73,2023,3593.0,137.0,4917.5,1324.5,0.026667,0.0,0.024096,0.003311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046512,0.0,0.06,0.085714,1323.0,108.0,1628.0,305.0,ABDN
74,2022,5919.15,160.5,7313.65,1394.5,0.111111,0.0,0.111111,0.0,0.0,0.0,0.018519,0.033333,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,1150.0,97.0,1436.0,286.0,UU.
75,2023,707.0,14.0,850.0,143.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,12.0,208.0,23.0,UU.
76,2022,399957.35,15845.95,636171.95,236214.6,0.024096,0.125,0.010571,0.019168,0.034632,0.25974,0.017542,0.009576,0.020516,0.141414,0.016235,0.008962,0.018349,0.047619,0.010922,0.017109,112152.0,8093.0,174534.0,62382.0,BP.
77,2023,183579.9,7513.1,288504.2,104924.3,0.026667,0.0,0.0062,0.007471,0.007746,0.023392,0.004365,0.002554,0.003518,0.03125,0.001619,0.002665,0.015056,0.153846,0.005884,0.007207,48692.0,3333.0,73416.0,24724.0,BP.
78,2022,7912.4,227.5,9895.4,1983.0,0.142857,0.5,0.129032,0.129032,0.0,0.0,0.093023,0.111111,0.0,0.0,0.0,0.0,0.12,0.0,0.109091,0.090909,1685.0,152.0,2298.0,613.0,SMDS
79,2023,1090.2,5.0,1260.7,170.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,272.0,22.0,292.0,20.0,SMDS
80,2022,7719.3,384.5,13858.5,6139.2,0.142857,0.0,0.064516,0.034483,0.0,0.0,0.013889,0.016393,0.007491,0.0,0.022989,0.022989,0.114286,0.0,0.108108,0.101695,2841.0,372.0,4838.0,1997.0,ABDN
81,2023,3593.0,137.0,4917.5,1324.5,0.026667,0.0,0.024096,0.003311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046512,0.0,0.06,0.085714,1323.0,108.0,1628.0,305.0,ABDN
